starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:32 2017	1485018032	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
Sat Jan 21 14:00:31 2017	1485018031	0	38	38	28
